No;Kode;Nama;Alamat;latitude;longitude
79;494976;PURWANTI BU;BLOK D1 NO.01;-7.598386;111.910089
80;494989;TK. IKE SNACK;KAPAS SUKOMORO;-7.609646;111.942494
81;494775;TK NURDANINGSIH;KAPAS - SUKOMORO;-7.608624537;111.9318753
82;494858;SULASTRI;DS KAPAS - SUKOMORO;-7.609748999;111.9380781
83;494587;MBA ATUN;DSN KAJANG RT 16 RW 05;-7.592072652;111.9588187
84;494713;MBAK DEWI;DS SUMENGKO   SUKOMORO   NGANJUK;-7.617862006;111.9343432
85;900163;TK SUKARDI;KEDUNG DOWO;-7.626213;111.896756
86;403696;MAS WACHID;SEKAR PUTIH DS. SUKOMORO;-7.579082;111.911569
87;403702;SUPARJIRUSMINI;GEMPOL DS. REJOSO KEC.;-7.56978;111.890723
88;493893;TK GIONO;MUNGKUNG - REJOSO;-7.582681;111.899178
89;494296;SUHARTO TK;MLORAH;-7.56992;111.890513
90;494440;MBAK YANTI;mungkung rejoso;-7.56833;111.887427
91;494600;MBAK ARISS;DESA MUNGKUNG;-7.613054;111.961435
92;494840;PAK WITO;TERMINAL ANJUK LADANG;-7.591533;111.8918011
93;494841;BU NANI;NGANJUK;-7.591781;111.8921821
94;494846;BU PARJIATI;DSN GANGGANG MALANG;-7.613395999;111.9657591
95;494849;TOKO KURNIA;BLITARAN - SUKOMORO;-7.592728;111.987612
96;494850;MUNAJI SNACK;DSN GANGMALANG - SUKOMORO;-7.623473;111.9584621
97;494856;BU JUMIATIN;JLN PANGLIMA SUDIRMAN 114;-7.585797;111.9613351
98;494969;B. AM SNACK;PASAR MUNGKUNG;-7.569893;111.890544
99;494970;B. SOFIATUN;PASAR MUNGKUNG;-7.569004;111.890874
100;494971;B. SUNIK;PASAR MUNGKUNG;-7.569668;111.890514
101;494589;SAMINI;DSN NGEMPLAK RT 04 RW 01;-7.527354304;111.951448
102;900198;TK ALIF;PASAR MUNGKUNG;-7.569613;111.890755
103;900202;TOKO ASSALAM;BULUPUTREN 11 - SUKOMORO;-7.578423;111.920392
104;494977;MBAK ANIK;PULU - CAMPUR;-7.539328;111.94946
105;402580;SEDERHANA;NGASEM-GONDANG;-7.552131;111.951356
106;402581;DYAH SARI EKANINGRUM;PULO-CAMPUR GONDANG;-7.537923;111.949457
107;402582;SRIATUN;PULO-CAMPUR GONDANG;-7.536208;111.94985
108;494786;ALI;DSN BALONGGLAGAH RT 01 RW 06;-7.545671067;111.9500856
109;494791;ROIS;DSN NGRANDU  RTRW  0301  PUTREN;-7.572720495;111.9252449
110;494864;TK HERMAN;KEDUNGSUKO - SUKOMORO;-7.600834387;111.9855369
111;494964;GINARSIH;BAGOR WETAN SUKOMORO;-7.582815;111.935173
